gender,logical reasoning,learning style,stress level,tutions,math score,reading score,writing score
female,strong,kinesthetic learning,medium,self study,69,77,77
female,very strong,reading/writing learning,medium,self study,65,76,76
female,very weak,visual learning,medium,self study,55,73,73
female,very strong,auditory learning,high,self study,44,63,62
female,very strong,kinesthetic learning,medium,self study,54,64,65
female,very weak,social learning,medium,self study,48,66,65
male,very strong,kinesthetic learning,high,self study,58,57,54
male,very weak,social learning,medium,self study,71,62,50
male,weak,auditory learning,medium,self study,68,68,64
female,weak,visual learning,medium,self study,74,76,73
female,very strong,auditory learning,medium,tutor,92,100,99
female,very strong,auditory learning,medium,tutor,56,79,72
male,average,visual learning,high,self study,30,24,15
male,very weak,social learning,medium,self study,53,54,48
female,strong,visual learning,medium,self study,69,77,73
female,strong,social learning,medium,self study,65,82,81
female,strong,solitary learning,medium,self study,54,60,63
female,very strong,visual learning,medium,self study,29,29,30
female,weak,kinesthetic learning,medium,self study,76,78,80
male,strong,visual learning,high,self study,60,57,51
male,strong,solitary learning,high,tutor,84,89,90
male,very strong,social learning,medium,self study,75,72,62
female,very strong,reading/writing learning,medium,self study,85,84,82
female,very strong,solitary learning,high,self study,40,58,54
female,weak,kinesthetic learning,medium,self study,61,64,62
female,average,reading/writing learning,medium,self study,58,63,65
male,strong,kinesthetic learning,high,tutor,69,60,63
female,very strong,kinesthetic learning,medium,self study,58,59,66
male,very strong,auditory learning,medium,tutor,94,90,91
female,very strong,reading/writing learning,medium,self study,65,77,74
female,very weak,reading/writing learning,medium,self study,82,93,93
female,very strong,visual learning,medium,self study,60,68,72
female,weak,auditory learning,medium,self study,37,45,38
male,strong,auditory learning,medium,self study,88,78,83
male,strong,solitary learning,medium,self study,95,81,84
male,very strong,reading/writing learning,high,tutor,65,73,68
female,very strong,visual learning,high,self study,35,61,54
male,average,auditory learning,high,self study,62,63,56
male,very strong,visual learning,high,tutor,58,51,52
male,very weak,kinesthetic learning,medium,tutor,100,96,86
female,weak,auditory learning,high,self study,61,58,62
male,strong,kinesthetic learning,medium,tutor,100,97,99
male,average,reading/writing learning,high,tutor,69,70,63
male,strong,reading/writing learning,medium,self study,61,48,46
male,strong,kinesthetic learning,high,self study,49,57,46
female,very strong,social learning,medium,tutor,44,51,55
male,strong,kinesthetic learning,medium,self study,67,64,70
male,average,visual learning,medium,self study,79,60,65
female,average,auditory learning,medium,tutor,66,74,81
female,very strong,visual learning,medium,self study,75,88,85
male,strong,social learning,medium,self study,84,84,80
male,very weak,visual learning,medium,self study,71,74,64
female,average,visual learning,high,tutor,67,80,81
female,strong,social learning,medium,tutor,80,92,88
male,weak,kinesthetic learning,medium,self study,86,76,74
female,strong,reading/writing learning,medium,self study,76,74,73
male,strong,visual learning,medium,self study,41,52,51
female,strong,reading/writing learning,high,tutor,74,88,90
female,average,social learning,high,self study,72,81,79
female,weak,visual learning,medium,tutor,74,79,80
male,average,visual learning,medium,self study,70,65,60
female,average,auditory learning,medium,tutor,65,81,81
female,strong,reading/writing learning,medium,self study,59,70,65
female,weak,visual learning,high,self study,64,62,68
female,average,visual learning,medium,self study,50,53,55
female,strong,kinesthetic learning,medium,tutor,69,79,81
male,very strong,social learning,high,tutor,51,56,53
female,very weak,visual learning,medium,tutor,68,80,76
female,strong,kinesthetic learning,medium,tutor,85,86,98
female,very weak,reading/writing learning,medium,tutor,65,70,74
female,average,social learning,medium,self study,73,79,79
female,average,kinesthetic learning,medium,self study,62,67,67
male,very strong,reading/writing learning,high,self study,77,67,64
male,strong,social learning,medium,self study,69,66,61
female,strong,reading/writing learning,high,self study,43,60,58
male,strong,reading/writing learning,medium,self study,90,87,85
male,very strong,kinesthetic learning,high,self study,74,77,73
male,very strong,social learning,medium,self study,73,66,63
female,strong,kinesthetic learning,high,self study,55,71,69
female,very strong,visual learning,medium,self study,65,69,67
male,strong,reading/writing learning,medium,self study,80,63,63
female,very strong,social learning,high,tutor,50,60,60
female,very strong,kinesthetic learning,high,tutor,63,73,71
female,average,auditory learning,high,self study,77,85,87
male,very strong,kinesthetic learning,medium,self study,73,74,61
male,strong,reading/writing learning,medium,tutor,81,72,77
female,very strong,visual learning,high,self study,66,76,68
male,strong,reading/writing learning,high,self study,52,57,50
female,very strong,kinesthetic learning,medium,self study,69,78,76
female,very strong,reading/writing learning,medium,tutor,65,84,84
female,strong,visual learning,medium,tutor,69,77,78
female,average,kinesthetic learning,medium,tutor,50,64,66
female,weak,kinesthetic learning,medium,tutor,73,78,76
female,very strong,social learning,medium,tutor,70,82,76
male,strong,reading/writing learning,high,self study,81,75,78
male,strong,kinesthetic learning,high,self study,63,61,60
female,strong,visual learning,medium,self study,67,72,74
male,average,visual learning,medium,self study,60,68,60
male,average,visual learning,medium,self study,62,55,54
female,very strong,social learning,high,tutor,29,40,44
male,average,kinesthetic learning,medium,tutor,62,66,68
female,weak,solitary learning,medium,tutor,94,99,100
male,weak,kinesthetic learning,medium,tutor,85,75,68
male,strong,reading/writing learning,high,self study,77,78,73
male,very weak,visual learning,high,self study,53,58,44
male,weak,kinesthetic learning,high,self study,93,90,83
female,very strong,reading/writing learning,medium,self study,49,53,53
female,weak,reading/writing learning,high,self study,73,76,78
female,very strong,auditory learning,high,tutor,66,74,81
female,strong,reading/writing learning,medium,self study,77,77,73
female,very strong,social learning,medium,self study,49,63,56
female,strong,kinesthetic learning,high,self study,79,89,86
female,very strong,reading/writing learning,medium,tutor,75,82,90
female,very weak,auditory learning,medium,self study,59,72,70
female,strong,reading/writing learning,medium,tutor,57,78,79
male,very strong,visual learning,high,self study,66,66,59
female,weak,auditory learning,medium,tutor,79,81,82
female,average,social learning,medium,self study,57,67,72
male,very weak,auditory learning,medium,tutor,87,84,87
female,strong,kinesthetic learning,medium,self study,63,64,67
female,average,social learning,high,tutor,59,63,64
male,very weak,auditory learning,high,self study,62,72,65
male,strong,visual learning,medium,self study,46,34,36
male,very strong,kinesthetic learning,medium,self study,66,59,52
male,strong,visual learning,medium,self study,89,87,79
female,strong,reading/writing learning,high,tutor,42,61,58
male,very strong,kinesthetic learning,medium,tutor,93,84,90
female,weak,social learning,medium,tutor,80,85,85
female,strong,kinesthetic learning,medium,self study,98,100,99
male,strong,solitary learning,medium,self study,81,81,84
female,average,social learning,medium,tutor,60,70,74
female,average,reading/writing learning,high,tutor,76,94,87
male,very strong,reading/writing learning,medium,tutor,73,78,72
female,very strong,reading/writing learning,medium,tutor,96,96,99
female,very strong,visual learning,medium,self study,76,76,74
male,weak,reading/writing learning,high,tutor,91,73,80
female,very strong,kinesthetic learning,high,self study,62,72,70
male,strong,social learning,high,tutor,55,59,59
female,average,social learning,high,tutor,74,90,88
male,very strong,visual learning,medium,self study,50,48,42
male,average,kinesthetic learning,medium,self study,47,43,41
male,weak,kinesthetic learning,medium,tutor,81,74,71
female,weak,reading/writing learning,medium,tutor,65,75,77
male,weak,social learning,medium,tutor,68,51,57
female,strong,visual learning,high,self study,73,92,84
male,very strong,kinesthetic learning,medium,self study,53,39,37
female,average,reading/writing learning,high,tutor,68,77,80
male,very weak,social learning,high,self study,55,46,43
female,very strong,kinesthetic learning,medium,tutor,87,89,94
male,strong,social learning,medium,self study,55,47,44
female,weak,kinesthetic learning,high,self study,53,58,57
male,very strong,solitary learning,medium,self study,67,57,59
male,very strong,reading/writing learning,medium,self study,92,79,84
female,average,kinesthetic learning,high,tutor,53,66,73
male,strong,reading/writing learning,medium,self study,81,71,73
male,very strong,visual learning,high,self study,61,60,55
male,strong,auditory learning,medium,self study,80,73,72
female,very weak,reading/writing learning,high,self study,37,57,56
female,very strong,visual learning,medium,self study,81,84,82
female,very strong,reading/writing learning,medium,tutor,59,73,72
male,average,kinesthetic learning,high,self study,55,55,47
male,strong,reading/writing learning,medium,self study,72,79,74
male,strong,visual learning,medium,self study,69,75,71
male,very strong,kinesthetic learning,medium,self study,69,64,68
female,very strong,auditory learning,high,self study,50,60,59
male,average,kinesthetic learning,medium,tutor,87,84,86
male,strong,social learning,medium,tutor,71,69,68
male,weak,kinesthetic learning,medium,self study,68,72,65
male,very strong,solitary learning,high,tutor,79,77,75
female,very strong,social learning,medium,tutor,77,90,85
male,very strong,reading/writing learning,high,self study,58,55,53
female,weak,reading/writing learning,medium,self study,84,95,92
male,strong,kinesthetic learning,medium,self study,55,58,52
male,weak,auditory learning,high,tutor,70,68,72
female,strong,kinesthetic learning,high,tutor,52,59,65
male,average,kinesthetic learning,medium,tutor,69,77,77
female,very strong,visual learning,high,self study,53,72,64
female,strong,social learning,medium,self study,48,58,54
male,strong,social learning,medium,tutor,78,81,86
female,average,visual learning,medium,self study,62,62,63
male,strong,kinesthetic learning,medium,self study,60,63,59
female,average,visual learning,medium,self study,74,72,72
female,very strong,visual learning,medium,tutor,58,75,77
male,average,visual learning,medium,tutor,76,62,60
female,strong,social learning,medium,self study,68,71,75
male,very weak,kinesthetic learning,high,self study,58,60,57
male,average,visual learning,medium,self study,52,48,49
male,strong,auditory learning,medium,self study,75,73,74
female,average,social learning,high,tutor,52,67,72
female,very strong,auditory learning,high,self study,62,78,79
male,average,kinesthetic learning,medium,self study,66,65,60
female,average,social learning,high,self study,49,58,55
female,average,visual learning,medium,self study,66,72,70
female,very strong,kinesthetic learning,high,self study,35,44,43
female,very weak,kinesthetic learning,medium,tutor,72,79,82
male,weak,reading/writing learning,medium,tutor,94,85,82
female,strong,reading/writing learning,high,self study,46,56,57
female,average,solitary learning,medium,self study,77,90,84
female,average,visual learning,high,tutor,76,85,82
female,very strong,reading/writing learning,medium,tutor,52,59,62
male,very strong,auditory learning,medium,tutor,91,81,79
female,average,social learning,medium,tutor,32,51,44
female,weak,social learning,high,self study,72,79,77
female,average,kinesthetic learning,medium,self study,19,38,32
male,very strong,reading/writing learning,high,self study,68,65,61
female,very strong,solitary learning,high,self study,52,65,61
female,average,visual learning,medium,self study,48,62,60
female,strong,kinesthetic learning,high,self study,60,66,70
male,strong,visual learning,high,self study,66,74,69
male,weak,social learning,medium,tutor,89,84,77
female,average,visual learning,medium,self study,42,52,51
female,weak,reading/writing learning,high,tutor,57,68,73
male,strong,visual learning,medium,self study,70,70,70
female,weak,reading/writing learning,high,self study,70,84,81
male,weak,kinesthetic learning,medium,self study,69,60,54
female,very strong,reading/writing learning,medium,self study,52,55,57
male,very strong,social learning,medium,tutor,67,73,68
male,very strong,social learning,medium,tutor,76,80,73
female,weak,reading/writing learning,medium,self study,87,94,95
female,average,kinesthetic learning,medium,self study,82,85,87
female,very strong,kinesthetic learning,medium,self study,73,76,78
male,very weak,kinesthetic learning,high,self study,75,81,74
female,strong,kinesthetic learning,high,self study,64,74,75
female,weak,visual learning,high,self study,41,45,40
male,very strong,visual learning,medium,self study,90,75,69
male,average,auditory learning,medium,self study,59,54,51
male,very weak,social learning,medium,self study,51,31,36
male,very weak,visual learning,high,self study,45,47,49
female,very strong,solitary learning,medium,tutor,54,64,67
male,weak,social learning,medium,tutor,87,84,76
female,very strong,visual learning,medium,self study,72,80,83
male,average,social learning,medium,tutor,94,86,87
female,very weak,auditory learning,medium,self study,45,59,64
male,strong,auditory learning,high,tutor,61,70,76
female,average,visual learning,high,self study,60,72,68
female,very strong,social learning,medium,self study,77,91,88
female,very weak,social learning,medium,tutor,85,90,92
female,strong,auditory learning,high,self study,78,90,93
male,weak,kinesthetic learning,high,tutor,49,52,51
female,average,visual learning,high,self study,71,87,82
female,very strong,social learning,high,self study,48,58,52
male,very strong,visual learning,medium,self study,62,67,58
female,very strong,reading/writing learning,high,tutor,56,68,70
female,very strong,social learning,medium,self study,65,69,76
female,strong,social learning,high,tutor,69,86,81
male,average,social learning,medium,self study,68,54,53
female,very weak,kinesthetic learning,high,self study,61,60,57
female,very strong,auditory learning,high,tutor,74,86,89
male,very weak,auditory learning,medium,self study,64,60,58
female,average,visual learning,medium,tutor,77,82,89
male,average,kinesthetic learning,medium,self study,58,50,45
female,very strong,visual learning,medium,tutor,60,64,74
male,weak,visual learning,medium,self study,73,64,57
female,very weak,visual learning,medium,tutor,75,82,79
male,average,reading/writing learning,high,tutor,58,57,53
female,very strong,reading/writing learning,medium,self study,66,77,73
female,strong,visual learning,high,self study,39,52,46
male,very strong,social learning,medium,self study,64,58,51
female,average,visual learning,high,tutor,23,44,36
male,average,kinesthetic learning,high,tutor,74,77,76
female,strong,social learning,high,tutor,40,65,64
male,weak,solitary learning,medium,self study,90,85,84
male,very strong,solitary learning,medium,tutor,91,85,85
male,strong,visual learning,medium,self study,64,54,50
female,very strong,visual learning,medium,self study,59,72,68
male,strong,reading/writing learning,medium,self study,80,75,69
male,very strong,solitary learning,medium,self study,71,67,67
female,very weak,visual learning,medium,self study,61,68,63
female,weak,kinesthetic learning,medium,self study,87,85,93
male,weak,social learning,medium,self study,82,67,61
male,very strong,social learning,medium,self study,62,64,55
female,average,auditory learning,medium,self study,97,97,96
male,average,kinesthetic learning,high,self study,75,68,65
female,very strong,auditory learning,medium,self study,65,79,81
male,average,visual learning,medium,tutor,52,49,46
male,very strong,reading/writing learning,high,self study,87,73,72
female,very strong,reading/writing learning,medium,self study,53,62,53
female,weak,solitary learning,high,self study,81,86,87
male,strong,auditory learning,high,tutor,39,42,38
female,very strong,kinesthetic learning,medium,tutor,71,71,80
male,very strong,reading/writing learning,medium,self study,97,93,91
male,strong,kinesthetic learning,medium,tutor,82,82,88
male,very strong,visual learning,high,self study,59,53,52
male,average,reading/writing learning,medium,self study,61,42,41
male,weak,reading/writing learning,high,tutor,78,74,72
male,very strong,reading/writing learning,high,self study,49,51,51
male,average,visual learning,medium,self study,59,58,47
female,very strong,kinesthetic learning,medium,tutor,70,72,76
male,average,reading/writing learning,medium,tutor,82,84,78
male,weak,reading/writing learning,high,self study,90,90,82
female,very strong,auditory learning,high,self study,43,62,61
male,very strong,kinesthetic learning,high,self study,80,64,66
male,strong,kinesthetic learning,medium,self study,81,82,84
male,very strong,social learning,medium,self study,57,61,54
female,strong,social learning,medium,self study,59,72,80
female,strong,reading/writing learning,medium,self study,64,76,74
male,very strong,auditory learning,medium,tutor,63,64,66
female,weak,auditory learning,medium,tutor,71,70,70
female,average,visual learning,high,self study,64,73,71
male,strong,auditory learning,high,self study,55,46,44
female,weak,reading/writing learning,medium,self study,51,51,54
female,very strong,reading/writing learning,medium,tutor,62,76,80
female,weak,reading/writing learning,medium,tutor,93,100,95
male,very strong,visual learning,high,self study,54,72,59
female,strong,kinesthetic learning,high,self study,69,65,74
male,strong,visual learning,high,self study,44,51,48
female,weak,kinesthetic learning,medium,tutor,86,85,91
female,weak,reading/writing learning,medium,self study,85,92,85
female,very weak,solitary learning,high,self study,50,67,73
male,strong,social learning,medium,tutor,88,74,75
female,weak,reading/writing learning,medium,self study,59,62,69
female,weak,social learning,high,self study,32,34,38
male,average,visual learning,high,self study,36,29,27
female,average,social learning,high,tutor,63,78,79
male,strong,reading/writing learning,medium,tutor,67,54,63
female,strong,social learning,medium,tutor,65,78,82
male,strong,solitary learning,medium,self study,85,84,89
female,very strong,solitary learning,medium,self study,73,78,74
female,very weak,visual learning,high,tutor,34,48,41
female,strong,auditory learning,high,tutor,93,100,100
female,strong,social learning,high,self study,67,84,84
male,strong,kinesthetic learning,medium,self study,88,77,77
male,average,visual learning,medium,self study,57,48,51
female,strong,kinesthetic learning,medium,tutor,79,84,91
female,very strong,auditory learning,high,self study,67,75,72
male,weak,auditory learning,medium,tutor,70,64,70
male,strong,auditory learning,high,self study,50,42,48
female,very weak,kinesthetic learning,medium,self study,69,84,82
female,very strong,auditory learning,medium,tutor,52,61,66
female,very strong,auditory learning,high,tutor,47,62,66
female,average,reading/writing learning,high,self study,46,61,55
female,weak,kinesthetic learning,medium,self study,68,70,66
male,weak,auditory learning,medium,tutor,100,100,100
female,very strong,visual learning,medium,self study,44,61,52
female,very strong,reading/writing learning,medium,tutor,57,77,80
male,average,kinesthetic learning,medium,tutor,91,96,91
male,strong,visual learning,high,self study,69,70,67
female,very strong,visual learning,high,self study,35,53,46
male,strong,visual learning,medium,self study,72,66,66
female,average,reading/writing learning,high,self study,54,65,65
male,strong,visual learning,high,self study,74,70,69
male,weak,social learning,medium,tutor,74,64,60
male,weak,reading/writing learning,high,self study,64,56,52
female,strong,visual learning,high,tutor,65,61,71
male,weak,reading/writing learning,high,tutor,46,43,44
female,very strong,social learning,high,self study,48,56,51
male,very strong,kinesthetic learning,high,tutor,67,74,70
male,strong,kinesthetic learning,high,self study,62,57,62
male,strong,reading/writing learning,high,tutor,61,71,73
male,very strong,auditory learning,high,tutor,70,75,74
male,very strong,reading/writing learning,medium,tutor,98,87,90
male,strong,kinesthetic learning,high,self study,70,63,58
male,very weak,reading/writing learning,medium,self study,67,57,53
female,weak,visual learning,high,self study,57,58,57
male,strong,kinesthetic learning,medium,tutor,85,81,85
male,strong,social learning,medium,tutor,77,68,69
male,very strong,solitary learning,high,tutor,72,66,72
female,strong,solitary learning,medium,self study,78,91,96
male,very strong,visual learning,medium,self study,81,66,64
male,very weak,social learning,high,tutor,61,62,61
female,average,visual learning,medium,self study,58,68,61
female,very strong,reading/writing learning,medium,self study,54,61,58
male,average,visual learning,medium,self study,82,82,80
female,strong,kinesthetic learning,high,self study,49,58,60
male,average,social learning,high,tutor,49,50,52
female,weak,visual learning,high,tutor,57,75,73
male,weak,visual learning,medium,self study,94,73,71
female,strong,kinesthetic learning,medium,tutor,75,77,83
female,weak,social learning,high,self study,74,74,72
male,very strong,visual learning,medium,tutor,58,52,54
female,very strong,kinesthetic learning,medium,self study,62,69,69
male,weak,reading/writing learning,medium,self study,72,57,62
male,very strong,kinesthetic learning,medium,self study,84,87,81
female,strong,solitary learning,medium,self study,92,100,100
female,strong,visual learning,medium,self study,45,63,59
male,very strong,visual learning,medium,self study,75,81,71
female,very weak,kinesthetic learning,medium,self study,56,58,64
female,strong,social learning,high,self study,48,54,53
female,weak,reading/writing learning,medium,self study,100,100,100
female,very strong,social learning,high,tutor,65,76,75
male,strong,kinesthetic learning,medium,self study,72,57,58
female,strong,kinesthetic learning,medium,self study,62,70,72
male,very weak,social learning,medium,tutor,66,68,64
male,very strong,kinesthetic learning,medium,self study,63,63,60
female,weak,reading/writing learning,medium,self study,68,76,67
female,average,auditory learning,medium,self study,75,84,80
female,strong,auditory learning,medium,self study,89,100,100
male,very strong,social learning,medium,tutor,78,72,69
female,very weak,visual learning,high,tutor,53,50,60
female,strong,kinesthetic learning,high,self study,49,65,61
female,very weak,kinesthetic learning,medium,self study,54,63,67
female,very strong,kinesthetic learning,medium,tutor,64,82,77
male,average,kinesthetic learning,high,tutor,60,62,60
male,very strong,reading/writing learning,medium,self study,62,65,58
male,strong,visual learning,medium,tutor,55,41,48
female,very strong,reading/writing learning,medium,self study,91,95,94
female,average,visual learning,high,self study,8,24,23
male,strong,social learning,medium,self study,81,78,78
male,average,social learning,medium,tutor,79,85,86
female,very weak,kinesthetic learning,medium,tutor,78,87,91
female,very strong,social learning,medium,self study,74,75,82
male,very weak,visual learning,medium,self study,57,51,54
female,very strong,reading/writing learning,medium,self study,40,59,51
male,weak,social learning,medium,tutor,81,75,76
female,very weak,social learning,high,self study,44,45,45
female,strong,kinesthetic learning,high,tutor,67,86,83
male,weak,visual learning,high,tutor,86,81,75
female,average,social learning,medium,tutor,65,82,78
female,strong,reading/writing learning,high,self study,55,76,76
female,strong,auditory learning,high,self study,62,72,74
male,very weak,visual learning,medium,self study,63,63,62
female,weak,solitary learning,medium,tutor,88,99,95
male,very strong,visual learning,high,self study,62,55,55
female,very strong,visual learning,high,tutor,59,71,65
female,strong,kinesthetic learning,medium,tutor,68,78,77
female,strong,kinesthetic learning,high,self study,77,86,86
